Time(secs)	PressureM1Condense(Bar)	PressureM3Tank(Bar)	PressureFPSafety(Bar)	Still (mbar)	Forepump (mbar)	Dewar (mbar)	Input Water Temp	Output Water Temp	Helium Temp	Oil Temp	Motor Current	4K Head X55749 t(s)	4K Head X55749 T(K)	4K Head X55749 R(Ohm)	4K Plate X55750 t(s)	4K Plate X55750 T(K)	4K Plate X55750 R(Ohm)	Still t(s)	Still T(K)	Still R(Ohm)	100mK Plate t(s)	100mK Plate T(K)	100mK Plate R(Ohm)	M/C X55751 t(s)	M/C X55751 T(K)	M/C X55751 R(Ohm)	M/C RuO2 t(s)	M/C RuO2 T(K)	M/C RuO2 R(Ohm)	Mag Top X48230 t(s)	Mag Top X48230 T(K)	Mag Top X48230 R(Ohm)	Mag Bottom X52698 t(s)	Mag Bottom X52698 T(K)	Mag Bottom X52698 R(Ohm)	70K Head PT100 t(s)	70K Head PT100 T(K)	70K Head PT100 R(Ohm)	70K Plate PT100 t(s)	70K Plate PT100 T(K)	70K Plate PT100 R(Ohm)	chan[10] t(s)	chan[10] T(K)	chan[10] R(Ohm)	chan[11] t(s)	chan[11] T(K)	chan[11] R(Ohm)	chan[12] t(s)	chan[12] T(K)	chan[12] R(Ohm)	chan[13] t(s)	chan[13] T(K)	chan[13] R(Ohm)	chan[14] t(s)	chan[14] T(K)	chan[14] R(Ohm)	chan[15] t(s)	chan[15] T(K)	chan[15] R(Ohm)	Still heater (W)	chamber heater (W)	
1361468661	0.717795342875454	0.707199316385388	0.0398449659718619	0.0004	0.23	0.019	10.7	10.7	19.7	15.4	0	1361468601	295.709386083432	68.338	1361468616	295.822987794387	57.297	1361468630	232.769521611646	2205.02	1361468645	181.168582170419	2208.07	1361468659	295.881918303812	58.8739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1361468721	0.712912381359294	0.707199316385388	0.0402356028931547	0.00044	0.24	0.019	10.7	10.9	19.7	15.4	0	1361468601	295.709386083432	68.338	1361468616	295.822987794387	57.297	1361468630	232.769521611646	2205.02	1361468645	181.168582170419	2208.07	1361468659	295.881918303812	58.8739	1361468673	186.91728696082	2207.73	1361468688	295.488399018626	89.633	0	0	0	1361468702	297.068366718987	109.389	1361468716	295.428559946447	108.751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1361468781	0.717795342875454	0.708371227149266	0.0398449659718619	0.00056	0.24	0.019	10.8	10.9	19.7	15.3	0	1361468728	295.681897983339	68.344	1361468742	295.554817515597	57.34	1361468757	228.706533386547	2205.26	1361468771	176.604064795842	2208.34	1361468659	295.881918303812	58.8739	1361468673	186.91728696082	2207.73	1361468688	295.488399018626	89.633	0	0	0	1361468702	297.068366718987	109.389	1361468716	295.428559946447	108.751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1361468841	0.717795342875454	0.707199316385388	0.0398449659718619	0.00074	0.25	0.019	10.7	10.7	19.8	15.4	0	1361468728	295.681897983339	68.344	1361468742	295.554817515597	57.34	1361468757	228.706533386547	2205.26	1361468771	176.604064795842	2208.34	1361468785	295.857347320754	58.878	1361468800	240.050148254169	2204.59	1361468814	295.264241479236	89.693	0	0	0	1361468828	297.058084144047	109.385	1361468716	295.428559946447	108.751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1361468901	0.717795342875454	0.707199316385388	0.0398449659718619	0.001	0.25	0.019	10.7	10.9	19.8	15.4	0	1361468854	295.681897983339	68.344	1361468868	295.816745519496	57.298	1361468883	270.373140671101	2202.8	1361468897	217.535595333746	2205.92	1361468785	295.857347320754	58.878	1361468800	240.050148254169	2204.59	1361468814	295.264241479236	89.693	0	0	0	1361468828	297.058084144047	109.385	1361468843	295.408001497156	108.743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1361468961	2.7912228766747	0.672432630390332	0.0398449659718619	0.0014	0.25	0.019	10.8	10.7	21.1	15.6	27	1361468854	295.681897983339	68.344	1361468868	295.816745519496	57.298	1361468883	270.373140671101	2202.8	1361468897	217.535595333746	2205.92	1361468911	295.892706906149	58.8721	1361468925	237.848878818416	2204.72	1361468940	295.499615946802	89.63	0	0	0	1361468954	297.068366718987	109.389	1361468843	295.408001497156	108.743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1361469021	3.04757835627308	0.6849330118717	0.0402356028931547	0.0021	0.26	0.019	10.7	25.3	45.7	22	25	1361468980	294.928142904678	68.509	1361468994	295.685721103387	57.319	1361469009	272.830551214979	2201.3	1361468897	217.535595333746	2205.92	1361468911	295.892706906149	58.8721	1361468925	237.848878818416	2204.72	1361468940	295.499615946802	89.63	0	0	0	1361468954	297.068366718987	109.389	1361468968	295.41314110156	108.745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1361469081	3.05246131778924	0.684542374950407	0.0394543290505692	0.0032	0.26	0.019	10.7	27.1	50.6	27.7	24	1361468980	294.928142904678	68.509	1361468994	295.685721103387	57.319	1361469009	272.830551214979	2201.3	1361469023	220.9203750876	2205.72	1361469037	295.892706906149	58.8721	1361469051	183.197435719101	2207.95	1361469066	295.480921545787	89.635	0	0	0	1361469080	266.46433374192	97.444	1361468968	295.41314110156	108.745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1361469141	3.05246131778924	0.684542374950407	0.0398449659718619	0.0049	0.26	0.019	10.7	28	52.4	29.7	24	1361469106	279.603876529377	72.073	1361469120	295.113131131101	57.411	1361469134	272.830551214979	2199.6	1361469023	220.9203750876	2205.72	1361469037	295.892706906149	58.8721	1361469051	183.197435719101	2207.95	1361469066	295.480921545787	89.635	0	0	0	1361469080	266.46433374192	97.444	1361469095	294.48552829672	108.384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1361469201	3.03781243324076	0.686495559556871	0.0394543290505692	0.0078	0.26	0.019	10.8	28.5	53.8	30.1	24	1361469106	279.603876529377	72.073	1361469120	295.113131131101	57.411	1361469134	272.830551214979	2199.6	1361469149	242.251547497966	2204.46	1361469163	295.881318961018	58.874	1361469177	215.504874781427	2206.04	1361469192	295.406167898448	89.655	0	0	0	1361469080	266.46433374192	97.444	1361469095	294.48552829672	108.384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
